Participant,Vessel Flag,Vessel Name,Registration,Call Sign,IMO Number,Type of Vessel,Gross Tonnage,Gross Registered Tonnage,Fishing Methods,Status,Authorised Start Date,Authorised End Date
"Australia","AUS","ATLAS COVE","O511","VHJT",9171008,"09.0.0 Multipurpose Vessels",,1772.00,"09.4.0 LLD  , 03.2.9 TM   , 03.1.9 TB   ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","CORINTHIAN BAY","O510","VJN4779",9188960,"07.2.0 Liners - Longliners",,1155.00,"09.4.0 LLD  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","DIANA","O588","VJT6259",8692548,"07.2.0 Liners - Longliners",,155.00,"09.3.0 LLS  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","ISLA EDEN","VJN4147","VJN4147",9111694,"07.2.0 Liners - Longliners",1362.00,1362.00,"09.4.0 LLD  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","OCEAN EXPLORER","FWFP","VMQ8729",,"07.2.0 Liners - Longliners",,85.00,"09.3.0 LLS  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","PETUNA ENDEAVOUR","SB3","VM4869",7817581,"07.2.0 Liners - Longliners",,200.00,"09.3.0 LLS  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Australia","AUS","SAXON ONWARD","A182","VJT5748",5314987,"01.2.0 Trawlers - Stern Trawlers",209.00,220.00,"03.1.2 OTB  , 03.2.1 OTM  , 08.9.0 FIX  ","Authorised  ",1/01/2016 12:00:00 a.m.,31/12/2016 11:59:59 p.m.
"Chile","CHL","AGUILA REAL","2364","cb2849",,"02.1.0 Seiners - Purse Seiners",249.75,,"02.9.0 SX   ","Authorised  ",8/08/2007 12:00:00 a.m.,31/12/2999 12:00:00 a.m.
"Chile","CHL","ALBIMER","2684","cb4139",8903741,"02.1.0 Seiners - Purse Seiners",583.16,,"02.9.0 SX   ","Authorised  ",9/04/2009 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ALCANTARA","2878","cb3834",,"02.1.0 Seiners - Purse Seiners",579.00,,"02.9.0 SX   ","Authorised  ",2/05/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ALCONES","2580","cb3854",5390022,"02.1.0 Seiners - Purse Seiners",564.20,,"02.9.0 SX   ","Authorised  ",22/07/2009 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ALERCE","2261","cb2121",7112254,"02.1.0 Seiners - Purse Seiners",,243.61,"02.9.0 SX   ","Authorised  ",31/07/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ANGAMOS 1","2484","cb3290",,"02.1.0 Seiners - Purse Seiners",267.04,,"02.9.0 SX   ","Authorised  ",20/07/2007 12:00:00 a.m.,31/12/2999 12:00:00 a.m.
"Chile","CHL","ANGAMOS 2","2486","cb3291",,"02.1.0 Seiners - Purse Seiners",267.04,,"02.9.0 SX   ","Authorised  ",20/07/2007 12:00:00 a.m.,31/12/2999 12:00:00 a.m.
"Chile","CHL","ANGAMOS 3","2739","cb3010",,"02.1.0 Seiners - Purse Seiners",315.46,,"02.9.0 SX   ","Authorised  ",20/07/2007 12:00:00 a.m.,31/12/2999 12:00:00 a.m.
"Chile","CHL","ANGAMOS 4","2633","cb3696",8965749,"02.1.0 Seiners - Purse Seiners",265.00,,"02.9.0 SX   ","Authorised  ",20/07/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ANGAMOS 9","2716","cb4591",8965775,"02.1.0 Seiners - Purse Seiners",290.00,,"02.9.0 SX   ","Authorised  ",20/07/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ANTARCTIC BAY","3165","cb9738",9092240,"07.2.0 Liners - Longliners",985.00,,"09.5.0 LL   ","Authorised  ",11/06/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","ARAUCO I","2621","cb4071",5229936,"02.1.0 Seiners - Purse Seiners",802.87,,"02.9.0 SX   ","Authorised  ",1/01/2013 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","AREQUIPA IV","2321","cb2307",7129295,"02.1.0 Seiners - Purse Seiners",,268.76,"02.9.0 SX   ","Authorised  ",1/01/2013 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
"Chile","CHL","AREQUIPA VII","2322","cb2308",7031802,"02.1.0 Seiners - Purse Seiners",229.00,,"02.9.0 SX   ","Authorised  ",7/05/2007 12:00:00 a.m.,31/12/2999 11:59:59 p.m.
